exo-mercat_name,name,host,letter,main_id,binary,ra_official,dec_official,mass,mass_max,mass_min,mass_url,msini,msini_max,msini_min,msini_url,bestmass,bestmass_max,bestmass_min,bestmass_url,bestmass_provenance,p,p_max,p_min,p_url,r,r_max,r_min,r_url,a,a_max,a_min,a_url,e,e_max,e_min,e_url,i,i_max,i_min,i_url,discovery_method,status,status_string,confirmed,discovery_year,final_alias,catalog,angular_separation,angular_separation_flag,binary_mismatch_flag,coordinate_mismatch,coordinate_mismatch_flag,duplicate_flag
*  11 Com  b,11 Com b,11 Com,b,*  11 Com,,185.1787793,17.7927778,,,,,19.4,1.5,1.5,2008ApJ...672..553L,19.4,1.5,1.5,2008ApJ...672..553L,Msini,326.03,0.32,0.32,2008ApJ...672..553L,,,,,1.29,0.05,0.05,2008ApJ...672..553L,0.231,0.005,0.005,2008ApJ...672..553L,,,,,Radial Velocity,CONFIRMED,"eu: CONFIRMED,oec: CONFIRMED,nasa: CONFIRMED",3,2007.0,"AG+18 1179,IRC +20241,GCRV  7404,ROT  1809,BD+18 2592,GEN# +1.00107383,WEB 10703,IRAS 12181+1804,Gaia DR3 3946945413106333696,YPAC 260,SAO 100053,ADS  8521 A,JP11  2212,HIP 60202,HD 107383,CCDM J12207+1748A,PMC 90-93  1313,2MASS J12204305+1747341,CSI+18  2592  1,*  11 Com,HIC  60202,HIP  60202,PPM 128975,UBV M  18084,** HO   52A,WDS J12207+1748A,YZ  18  4649,GSC 01445-02560,FK5 2987,TIC 72437047,BD+18  2592,Gaia DR2 3946945413106333696,IDS 12157+1821 A,TD1 16214,UBV   11083,TYC 1445-2560-1,HR 4697,ae Berenices,SKY# 23129,HR  4697,GC 16835","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
* sig01 UMa  b,11 UMa b,11 UMa,b,* sig01 UMa,,137.0958333,66.8733333,3.72,0.82,0.82,eu,,,,,3.72,0.82,0.82,eu,Mass,651.9,7.1,7.1,eu,,,,,1.56,0.07,0.07,eu,0.7,0.07,0.07,eu,,,,,NA,CONFIRMED,eu: CONFIRMED,1,2008.0,"UBV    8744,GEN# +1.00077800,HR  3609,PPM  16910,UBV M  15061,2MASS J09082349+6652235,RAFGL 1316,SAO  14769,DO 32686,GC 12576,UCAC3 314-45581,PLX 2167,Gaia DR2 1068971975056597632,* sig01 UMa,ROT  1428,SKY# 17630,IRC +70088,BD+67   573,IRAS 09040+6704,HIC  44857,AG+67  412,TYC 4134-1397-1,*  11 UMa,HIP  44857,GSC 04134-01397,TIC 430246858,Gaia DR3 1068971975056597632,HD  77800,WEB  8571,GCRV  5966,PLX 2167.00",['eu'],[0.0],0,0,,0,0
*  11 UMi  b,11 UMi b,11 UMi,b,*  11 UMi,,229.275,71.82390183333332,,,,,11.2,0.245,0.245,oec,11.2,0.245,0.245,oec,Msini,516.21997,3.2,3.2,2017AJ....153..136S,,,,,1.54,0.07,0.07,eu,0.08,0.03,0.03,2017AJ....153..136S,,,,,Radial Velocity,CONFIRMED,"nasa: CONFIRMED,eu: CONFIRMED,oec: CONFIRMED",3,2009.0,"Gaia DR2 1696798367260229376,11 Ursae Minoris,WEB 12760,IRAS 15171+7200,*  11 UMi,HIC  74793,SKY# 27683,SAO   8207,UBV M  20730,GEN# +1.00136726,BD+72   678,Gaia DR1 1696798367260229376,HIP 74793,AP J15170588+7149258,SAO 8207,PLX 3472.00,IRC +70128,GSC 04414-02315,PPM   8870,UBV   13227,DO 34922,Gaia DR3 1696798367260229376,AG+72  397,RAFGL 4989S,HR 5714,Pherkard,Pherkad Minor,PLX 3472,TYC 4414-2315-1,2MASS J15170588+7149258,BD+72 678,NAME Pherkad Minor,GCRV  8864,HR  5714,GC 20598,ROT  2175,HD 136726,HIP  74793,TIC 230061010","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
*  14 And  b,14 And b,14 And,b,*  14 And,,352.82415,39.2361111,,,,,4.684,0.23,0.23,eu,4.684,0.23,0.23,eu,Msini,185.84,0.23,0.23,2008PASJ...60.1317S,,,,,,,,,,,,,,,,,Radial Velocity,CONFIRMED,"nasa: CONFIRMED,oec: CONFIRMED,eu: CONFIRMED",3,2008.0,"HIC 116076,romedae,PPM  88889,Gaia DR2 1920113512486282240,ROT  3415,NLTT 57112,GCRV 14746,AG+38 2432,TIC 333225860,UBV M  27062,BD+38 5023,HIP 116076,LTT 16915,NSV 14599,PLX 5691,HR 8930,SKY# 44507,HD 221345,HR  8930,NAME Veritate,USNO-B1.0 1292-00522865,IRAS 23288+3857,Veritate,UBV   20212,[HFE83] 1546,Gaia DR3 1920113512486282240,*  14 And,ASCC  546331,TYC 3231-323-1,IRC +40539,BD+38  5023,WISEA J233117.68+391409.5,WEB 20520,LSPM J2331+3914,GC 32703,GEN# +1.00221345,SAO  73311,PLX 5691.00,2MASS J23311742+3914102","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
*  14 Her  b,14 Her b,14 Her,b,*  14 Her,,242.60131333333334,43.8163621,8.13881,1.55012,0.97213,2022ApJS..262...21F,5.215,0.3,0.3,eu,5.215,0.3,0.3,eu,Msini,1763.3,0.84,0.84,eu,,,,,2.845,0.04,0.04,eu,0.369,0.003,0.003,eu,144.652,6.279,3.241,2022ApJS..262...21F,Radial Velocity,CONFIRMED,"oec: CONFIRMED,nasa: CONFIRMED,eu: CONFIRMED",3,2002.0,"2MASS J16102432+4349037,uvby98 100145675,HIP  79248,PMC 90-93  4082,USNO-B1.0 1338-00266844,PLX 3677.00,PLX 3677,G 180-35,BD+44 2549,BD+44  2549,UBV   13776,HIC  79248,GJ 614,TYC 3067-576-1,IRAS 16087+4356,SPOCS  690,TIC 219483057,Gaia DR1 1385293803850022528,WEB 13400,GEN# +1.00145675,HIP 79248,UBV M  21251,WISEA J161024.44+434900.5,AGKR 14435,SKY# 29203,G 202-30,LSPM J1610+4349,NLTT 42191,WDS J16104+4349A,GCRV  9305,*  14 Her,GC 21761,SAO 45933,Gaia DR2 1385293808145621504,HD 145675,** RBR   19A,ASCC  414309,LTT 14816,AG+43 1319,GJ   614,PPM  55229,Gaia DR3 1385293808145621504,SAO  45933","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
*  16 Cyg B B b,16 Cyg B b,16 Cyg,b,*  16 Cyg B,B,295.4656422,50.5175,,,,,1.77,0.05,0.05,oec,1.77,0.05,0.05,oec,Msini,799.5,0.6,0.6,eu,,,,,1.72,0.01,0.01,oec,0.689,0.011,0.011,eu,45.0,1.0,1.0,oec,Radial Velocity,CONFIRMED,"eu: CONFIRMED,oec: CONFIRMED,nasa: CONFIRMED",3,1996.0,"*  16 Cyg B,** STF 4046B,GC 27285,Gaia DR3 2135550755683407232,USNO-B1.0 1405-00322540,USNO 890,TYC 3565-1525-1,2MASS J19415198+5031032,LTT 15751,YZ  50  6150,WEB 17005,LSPM J1941+5031E,BD+50  2848,HIP 96901,ni,HD 186427,GCRV 12084,HIC  96901,SKY# 36807,HIP  96901,SPOCS  855,WISEA J194151.82+503102.2,ASCC  271120,SAO  31899,GJ   765.1 B,HR  7504,IDS 19392+5017 B,UBV   16780,Gaia DR2 2135550755683407232,NLTT 48138,TIC 27533327,UBV M  24082,GEN# +1.00186427,AG+50 1408,AKARI-IRC-V1 J1941518+503102,KIC 12069449,WDS J19418+5032B,ADS 12815 B,Gaia DR1 2135550854464294784,ROT  2840,PPM  37673,CCDM J19418+5031B,WDS J19418+5032","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
* chi Sco  b,17 Sco b,17 Sco,b,* chi Sco,,243.462500017,-11.8377905,,,,,4.32,0.15,0.12,2020A&A...644A...1T,4.32,0.15,0.12,2020A&A...644A...1T,Msini,578.38,2.0,2.0,eu,,,,,1.45,0.02,0.02,2020A&A...644A...1T,0.06,0.03,0.02,2020A&A...644A...1T,,,,,Radial Velocity,CONFIRMED,"eu: CONFIRMED,nasa: CONFIRMED",2,2020.0,"HIC  79540,IRC -10334,PPM 231387,[B10]  4131,BD-11  4096,GC 21828,HD 145897,2MASS J16135090-1150160,HIP 79540,HR  6048,GEN# +1.00145897,AP J16135090-1150160,HIP  79540,GCRV  9337,RAFGL 1835,IRAS 16110-1142,GSC 05621-01388,Gaia DR2 4342464209753404416,Gaia DR3 4342464209753404416,TYC 5621-1388-1,*  17 Sco,PLX 3680.00,* chi Sco,TIC 135596590,WEB 13462,YZC 11  5629,SAO 159793,ROT  2303,PLX 3680,SKY# 29302","['eu', 'nasa']",[0.0],0,0,,0,0
*  18 Del  b,18 del b,18 Del,b,*  18 Del,,314.6083333,10.8391378,,,,,10.3,0.36,0.36,eu,10.3,0.36,0.36,eu,Msini,993.3,3.2,3.2,2008PASJ...60..539S,,,,,,,,,0.08,0.01,0.01,2008PASJ...60..539S,,,,,Radial Velocity,CONFIRMED,"eu: CONFIRMED,oec: CONFIRMED,nasa: CONFIRMED",3,2008.0,"CSI+10  4425  1,BD+10  4425,TIC 354489950,HR  8030,GSC 01107-02709,1RXS J205826.7+105032,AG+10 2813,HIC 103527,YZ  10  8257,2MASS J20582594+1050214,Gaia DR2 1756741374681702784,CCDM J20585+1049A,PPM 139372,Gaia DR3 1756741374681702784,WDS J20584+1050A,HD 199665,GC 29266,HIP 103527,SKY# 39848,HR 8030,GCRV 13170,phini,IRAS 20560+1038,UBV M  25318,SAO 106712,*  18 Del,IDS 20536+1027 A,BD+10 4425,TYC 1107-2709-1,AKARI-IRC-V1 J2058259+105021,GEN# +1.00199665,NAME Musica,Musica,WEB 18832","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
WTS 19b-1-02162  b,19b1-02162 b,19b1-02162,b,WTS 19b-1-02162,,293.0112,36.4848,,,,,,,,,,,,,Mass,,,,,,,,,,,,,,,,,,,,,NA,CONFIRMED,eu: CONFIRMED,1,2013.0,,['eu'],[5.66464984380852e-05],0,0,,0,0
RX J1609.5-2105  b,1RXS 1609 b,1RXS 1609,b,RX J1609.5-2105,,242.375,-21.08277777777778,8.0,1.0,1.0,2015ApJ...802...61L,,,,,8.0,1.0,1.0,2015ApJ...802...61L,Mass,,,,,,,,,,,,,,,,,,,,,Imaging,CONFIRMED,"eu: CONFIRMED,nasa: CONFIRMED,oec: CONFIRMED",3,2008.0,"GSC 06213-01358,UCAC3 138-177429,UCAC2  23395816,DENIS J160930.3-210459,WISEA J160930.29-210459.2,USNO-B1.0 0689-00345540,2MASS J16093030-2104589,WDS J16095-2105A,RXJ 1609,RX J1609.5-2105,WISE J160930.30-210459.1,Gaia DR2 6243841249531772800,UCAC4 345-079961,1RXS J160929,1RXS J1609b,RIK 94,1RXS J1609-2105b,1RXS1609,TIC 48964101,Gaia DR3 6243841249531772800,[PZ99] J160930.3-210459,** LAF   76A,AP J16093030-2104589,1RXS J1609,1RXS J160929.1-210524","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
