main_id,ra,dec
TYC 5702-318-1,276.29769468285997,-14.028207454390001
HD 249852,89.77883099154,23.04329285867
TYC 5702-1442-1,277.23949935185993,-14.225593746530002
UCAC4 398-057038,212.51454484647996,-10.577622971430001
HD 169989,276.94383996406,-14.212331227439998
BD-13  5005,277.5704889487,-13.8820705598
LS  IV -14   76,277.05191639159,-14.1287828077
UCAC4 144-205295,290.01271581092,-61.39317586784
TYC 2599-1070-1,258.71530902699,34.08871432784
TYC 5702-1776-1,277.09041043365,-14.025479588830002
